㐀	(丘|㐀|丠|坵)
㐅	(五|㐅|伍)
㐫	(凶|㐫|兇)
㐮	(襄|㐮)
㐯	(庸|㐯|𠆌)
㐱	(鬒|㐱)
㐴	(攀|㐴|扳)
㐵	(儒|㐵)
㐽	(偑|㐽)
㑁	(𠭴|㑁)
㑄	(侮|㑄)
㑇	(㑳|㑇)
㑈	(倲|㑈)
㑌	(尩|㑌)
㑔	(㑯|㑔)
㑝	(𢙱|㑝)
㑩	(儸|㑩)
㑯	(㑔|㑯)
㑳	(㑇|㑳)
㒇	(儛|㒇)
㒋	(厮|廝|㒋)
㒓	(𠉂|㒓)
㒚	(文|穩|㒚|稳)
㒞	(儶|㒞)
㒰	(全|㒰)
㒲	(財|㒲|才|财|纔)
㒷	(興|㒷|兴)
㓁	(网|㓁|網|罔)
㓟	(披|㓟)
㓥	(劏|㓥)
㓨	(刾|㓨|刺|莿|刺|朿)
㓮	(彫|雕|㓮|鵰|凋|琱)
㓷	(劓|㓷)
㓸	(斲|㓸|斵)
㔉	(劚|㔉)
㔍	(䥷|㔍)
㔱	(斞|㔱|庾)
㔾	(卩|㔾|節|部|罇|节|墫|樽)
㕑	(厨|𢊍|㕑|廚)
㕚	(爪|爫|㕚)
㕞	(刷|㕞)
㖈	(䎛|㖈)
㖊	(噚|㖊)
㖞	(喎|㖞)
㗖	(啖|啗|噉|㗖)
㗲	(𠵾|㗲)
㗳	(嗒|㗳)
㘅	(啣|銜|㘅|衔)
㘎	(㘚|㘎)
㘚	(㘎|㘚)
㘽	(㦳|㘽)
㙮	(塔|㙮|墖)
㙳	(轗|㙳)
㚝	(奎|奞|㚝)
㚣	(姣|㚣)
㚯	(㜄|㚯)
㛀	(媰|㛀)
㛛	(娠|㛛|暖|煖|諼|谖)
㛟	(𡞵|㛟)
㛠	(𡢃|㛠)
㛣	(㜏|㛣)
㛤	(孋|㛤)
㛿	(𡠹|㛿)
㜄	(㚯|㜄)
㜏	(㛣|㜏)
㜢	(𡞱|㜢)
㜷	(𡝠|㜷)
㝃	(娩|㝃)
㝛	(宿|㝛)
㝵	(碍|礙|㝵)
㞐	(居|㞐)
㞞	(𪨊|㞞)
㟆	(㠏|㟆)
㟗	(豳|邠|㟗)
㟜	(𡾱|㟜)
㠊	(嶇|㠊|岖)
㠏	(㟆|㠏)
㠯	(以|㠯)
㠶	(帆|㠶|拚|抃)
㡘	(𢅏|㡘|簾|帘|簾|𢅖)
㡿	(斥|㡿)
㢝	(𢋈|㢝)
㣶	(邅|㣶)
㣺	(心|㣺|忄)
㣼	(忍|㣼)
㤒	(笨|㤒)
㤘	(㥮|㤘)
㤵	(慈|㤵)
㥃	(悶|懣|㥃|闷|懑)
㥮	(㤘|㥮)
㥵	(慁|㥵)
㦎	(𢛯|㦎)
㦧	(憯|㦧)
㦳	(㘽|㦳)
㧃	(收|㧃|収)
㧏	(掆|㧏)
㧐	(㩳|㧐)
㧑	(撝|㧑)
㧖	(扼|搤|㧖)
㧜	(擸|㧜)
㧟	(擓|㧟)
㧰	(擽|㧰)
㨉	(抿|㨉)
㨗	(捷|㨗)
㨨	(㩅|㨨)
㨫	(㩜|㨫|擥|攬|揽)
㨼	(撂|㨼)
㩁	(搉|㩁)
㩅	(㨨|㩅)
㩜	(㨫|擥|攬|㩜|揽)
㩳	(㧐|㩳)
㩹	(𢶣|㩹)
㪅	(更|㪅|更)
㪯	(舉|㪯|举|挙|擧)
㫃	(偃|㫃)
㫎	(幑|𣄈|㫎)
㫚	(昒|曶|㫚)
㬅	(曼|㬅)
㬱	(朁|㬱)
㬹	(踭|㬹)
㭎	(棡|㭎)
㭏	(椲|㭏)
㭣	(𣙎|㭣)
㭤	(樢|㭤)
㭨	(椰|㭨)
㭴	(樫|㭴)
㮣	(槩|槪|㮣|概)
㯃	(桼|漆|㯃|柒|七)
㯭	(樐|櫓|㯭|艪|橹|舮|舻|艣|艫|櫓)
㯶	(棕|㯶|椶)
㯽	(檳|㯽|梹|槟)
㰍	(櫳|㰍|栊)
㱩	(殰|㱩|𦢌)
㱮	(殨|㱮)
㱿	(壳|殼|㱿|殻)
㲒	(勽|㲒|菢)
㲓	(毧|㲓)
㲿	(瀇|㲿)
㳄	(涎|㳄)
㳔	(濧|㳔)
㳕	(灡|㳕)
㳠	(澾|㳠)
㳡	(濄|㳡)
㳢	(𣾷|㳢)
㳽	(瀰|㳽|彌|弥)
㴑	(溯|㴑|泝|遡)
㴔	(潝|㴔)
㵒	(沸|㵒)
㶉	(鸂|㶉)
㶶	(燶|㶶)
㶽	(煱|㶽)
㷉	(熨|㷉|尉)
